lat,long,location,count
42.24791651,-71.12448276,(42.24791651 -71.12448276),2
42.24798023,-71.12740447,(42.24798023 -71.12740447),1
42.24798117,-71.11830421,(42.24798117 -71.11830421),17
42.24801184,-71.12255595,(42.24801184 -71.12255595),35
42.2480465,-71.11648992,(42.24804650 -71.11648992),4
42.24806163,-71.13269023,(42.24806163 -71.13269023),65
42.24807145,-71.13799559,(42.24807145 -71.13799559),13
42.24817686,-71.1110879,(42.24817686 -71.11108790),4
42.24818791,-71.11623292,(42.24818791 -71.11623292),1
42.24824519,-71.119587,(42.24824519 -71.11958700),2
42.24824571,-71.11036499,(42.24824571 -71.11036499),1
42.24826158,-71.12716914,(42.24826158 -71.12716914),11
42.2482912,-71.12630592,(42.24829120 -71.12630592),19
42.24830494,-71.11187957,(42.24830494 -71.11187957),2
42.24831869,-71.11676234,(42.24831869 -71.11676234),162
42.24834276,-71.1281875,(42.24834276 -71.12818750),8
42.24835129,-71.11254914,(42.24835129 -71.11254914),2
42.24838288,-71.11588828,(42.24838288 -71.11588828),2
42.24843386,-71.11579805,(42.24843386 -71.11579805),1
42.24852199,-71.1171244,(42.24852199 -71.11712440),1
42.24854884,-71.12694776,(42.24854884 -71.12694776),7
42.2485634,-71.1141247,(42.24856340 -71.11412470),8
42.24858666,-71.12382157,(42.24858666 -71.12382157),2
42.24860152,-71.13157631,(42.24860152 -71.13157631),4
42.24861245,-71.11895283,(42.24861245 -71.11895283),1
42.24866287,-71.12942498,(42.24866287 -71.12942498),6
42.24872,-71.12736931,(42.24872000 -71.12736931),7
42.24873815,-71.11768375,(42.24873815 -71.11768375),4
42.24875808,-71.11522821,(42.24875808 -71.11522821),8
42.24883412,-71.12680769,(42.24883412 -71.12680769),2
42.24884413,-71.13428778,(42.24884413 -71.13428778),1
42.24884467,-71.11853695,(42.24884467 -71.11853695),1
42.24886596,-71.13122255,(42.24886596 -71.13122255),14
42.24891703,-71.12588341,(42.24891703 -71.12588341),47
42.24891906,-71.13222045,(42.24891906 -71.13222045),16
42.24894017,-71.12130622,(42.24894017 -71.12130622),28
42.24894107,-71.11634898,(42.24894107 -71.11634898),5
42.24895751,-71.13312235,(42.24895751 -71.13312235),3
42.24897685,-71.12800077,(42.24897685 -71.12800077),7
42.24899978,-71.11715507,(42.24899978 -71.11715507),5
42.24900847,-71.11218085,(42.24900847 -71.11218085),4
42.24910235,-71.11333146,(42.24910235 -71.11333146),3
42.24911633,-71.1400811,(42.24911633 -71.14008110),2
42.2491194,-71.12666761,(42.24911940 -71.12666761),1
42.24915511,-71.14125117,(42.24915511 -71.14125117),6
42.2491787,-71.12663006,(42.24917870 -71.12663006),1
42.24919385,-71.1339302,(42.24919385 -71.13393020),6
42.24920341,-71.13100978,(42.24920341 -71.13100978),1
42.24923375,-71.13513526,(42.24923375 -71.13513526),1
42.249238,-71.1265925,(42.24923800 -71.12659250),2
42.24933079,-71.1142441,(42.24933079 -71.11424410),2
42.2493422,-71.11823514,(42.24934220 -71.11823514),1
42.24941191,-71.12732343,(42.24941191 -71.12732343),1
42.24943784,-71.11691711,(42.24943784 -71.11691711),1
42.24945105,-71.11862719,(42.24945105 -71.11862719),3
42.24945777,-71.12293746,(42.24945777 -71.12293746),6
42.24948009,-71.12648781,(42.24948009 -71.12648781),1
42.24950364,-71.13165831,(42.24950364 -71.13165831),30
42.24951467,-71.13259099,(42.24951467 -71.13259099),13
42.24954831,-71.14431405,(42.24954831 -71.14431405),9
42.24954915,-71.1257549,(42.24954915 -71.12575490),4
42.24961588,-71.13479074,(42.24961588 -71.13479074),15
42.24967245,-71.12004045,(42.24967245 -71.12004045),37
42.24972218,-71.12638312,(42.24972218 -71.12638312),1
42.24973808,-71.13094002,(42.24973808 -71.13094002),91
42.24974548,-71.11832165,(42.24974548 -71.11832165),3
42.24976838,-71.113501,(42.24976838 -71.11350100),5
42.24980716,-71.13230432,(42.24980716 -71.13230432),1
42.24982555,-71.11282876,(42.24982555 -71.11282876),4
42.24982643,-71.11068338,(42.24982643 -71.11068338),1
42.24987677,-71.11831801,(42.24987677 -71.11831801),2
42.24995502,-71.11692626,(42.24995502 -71.11692626),7
42.24995971,-71.11317445,(42.24995971 -71.11317445),1
42.24999342,-71.12344849,(42.24999342 -71.12344849),40
42.25001483,-71.11563053,(42.25001483 -71.11563053),21
42.2500764,-71.12246608,(42.25007640 -71.12246608),5
42.25014227,-71.12925975,(42.25014227 -71.12925975),3
42.25014441,-71.12553157,(42.25014441 -71.12553157),7
42.25017239,-71.11443415,(42.25017239 -71.11443415),3
42.25017468,-71.13420432,(42.25017468 -71.13420432),8
42.25022843,-71.11831536,(42.25022843 -71.11831536),4
42.25022942,-71.11269237,(42.25022942 -71.11269237),4
42.25027603,-71.13090311,(42.25027603 -71.13090311),4
42.2502962,-71.12611241,(42.25029620 -71.12611241),2
42.25031424,-71.11885871,(42.25031424 -71.11885871),2
42.25036323,-71.12175924,(42.25036323 -71.12175924),11
42.2504055,-71.1317374,(42.25040550 -71.13173740),34
42.25040905,-71.14446882,(42.25040905 -71.14446882),2
42.25042819,-71.11233707,(42.25042819 -71.11233707),1
42.25044024,-71.12184759,(42.25044024 -71.12184759),2
42.25044769,-71.1433232,(42.25044769 -71.14332320),1
42.25049078,-71.11136827,(42.25049078 -71.11136827),2
42.25050448,-71.13090444,(42.25050448 -71.13090444),15
42.25052875,-71.12600162,(42.25052875 -71.12600162),44
42.25055849,-71.12512147,(42.25055849 -71.12512147),8
42.25059476,-71.1431849,(42.25059476 -71.14318490),4
42.25060071,-71.1325418,(42.25060071 -71.13254180),38
42.25060178,-71.13375937,(42.25060178 -71.13375937),9
42.2506192,-71.11201663,(42.25061920 -71.11201663),1
42.25064992,-71.12406767,(42.25064992 -71.12406767),17
42.25066722,-71.1413769,(42.25066722 -71.14137690),2
42.25067181,-71.14103522,(42.25067181 -71.14103522),6
42.25069475,-71.13904417,(42.25069475 -71.13904417),11
42.25069848,-71.12029793,(42.25069848 -71.12029793),4
42.2507276,-71.11693702,(42.25072760 -71.11693702),2
42.2507446,-71.1100784,(42.25074460 -71.11007840),4
42.2507613,-71.12589082,(42.25076130 -71.12589082),2
42.25076977,-71.11401862,(42.25076977 -71.11401862),10
42.25081021,-71.1116962,(42.25081021 -71.11169620),1
42.25087557,-71.12088656,(42.25087557 -71.12088656),1
42.25089631,-71.14535544,(42.25089631 -71.14535544),5
42.2509009,-71.1225554,(42.25090090 -71.12255540),2
42.25093711,-71.12277648,(42.25093711 -71.12277648),21
42.25094401,-71.11660236,(42.25094401 -71.11660236),5
42.25096154,-71.13051036,(42.25096154 -71.13051036),6
42.2509639,-71.14284317,(42.25096390 -71.14284317),3
42.25100168,-71.11910481,(42.25100168 -71.11910481),15
42.2510172,-71.12390887,(42.25101720 -71.12390887),1
42.25101904,-71.13382686,(42.25101904 -71.13382686),2
42.25107733,-71.12416238,(42.25107733 -71.12416238),3
42.25107936,-71.12388159,(42.25107936 -71.12388159),2
42.25108484,-71.14421984,(42.25108484 -71.14421984),1
42.25109643,-71.11540455,(42.25109643 -71.11540455),7
42.25113403,-71.11113665,(42.25113403 -71.11113665),12
42.25114037,-71.14229923,(42.25114037 -71.14229923),3
42.2511478,-71.1120605,(42.25114780 -71.11206050),4
42.25118733,-71.11617887,(42.25118733 -71.11617887),2
42.25119014,-71.13011496,(42.25119014 -71.13011496),2
42.25119293,-71.12507461,(42.25119293 -71.12507461),2
42.25119947,-71.12053218,(42.25119947 -71.12053218),23
42.25120821,-71.13095369,(42.25120821 -71.13095369),22
42.25125535,-71.13476971,(42.25125535 -71.13476971),20
42.25127804,-71.12019402,(42.25127804 -71.12019402),15
42.25133192,-71.14080585,(42.25133192 -71.14080585),3
42.25133668,-71.1128736,(42.25133668 -71.11287360),2
42.2513375,-71.14250615,(42.25133750 -71.14250615),1
42.25137716,-71.13295048,(42.25137716 -71.13295048),54
42.25153486,-71.1197474,(42.25153486 -71.11974740),1
42.25153631,-71.12268385,(42.25153631 -71.12268385),9
42.25164228,-71.14419214,(42.25164228 -71.14419214),4
42.25166498,-71.14219659,(42.25166498 -71.14219659),1
42.25167017,-71.13126043,(42.25167017 -71.13126043),3
42.25168341,-71.13100295,(42.25168341 -71.13100295),3
42.25169332,-71.1319992,(42.25169332 -71.13199920),11
42.25169601,-71.13053274,(42.25169601 -71.13053274),7
42.25169697,-71.11738135,(42.25169697 -71.11738135),45
42.25170382,-71.12279766,(42.25170382 -71.12279766),3
42.25172228,-71.11605886,(42.25172228 -71.11605886),9
42.25178013,-71.11001188,(42.25178013 -71.11001188),2
42.25179898,-71.14174034,(42.25179898 -71.14174034),2
42.25186902,-71.14372104,(42.25186902 -71.14372104),1
42.2518757,-71.11498371,(42.25187570 -71.11498371),14
42.25188297,-71.11915243,(42.25188297 -71.11915243),64
42.2518944,-71.1253531,(42.25189440 -71.12535310),246
42.25191561,-71.13238719,(42.25191561 -71.13238719),1
42.25194322,-71.11925138,(42.25194322 -71.11925138),48
42.25194648,-71.13101633,(42.25194648 -71.13101633),2
42.2519746,-71.128736,(42.25197460 -71.12873600),32
42.25199081,-71.14506066,(42.25199081 -71.14506066),10
42.25201295,-71.11295068,(42.25201295 -71.11295068),2
42.25203952,-71.14185512,(42.25203952 -71.14185512),2
42.25203997,-71.13226131,(42.25203997 -71.13226131),3
42.25208956,-71.12305271,(42.25208956 -71.12305271),1
42.25215294,-71.11183303,(42.25215294 -71.11183303),5
42.25220188,-71.13095053,(42.25220188 -71.13095053),12
42.25224678,-71.11592935,(42.25224678 -71.11592935),1
42.252305,-71.12320008,(42.25230500 -71.12320008),1
42.25234038,-71.13279219,(42.25234038 -71.13279219),6
42.25235422,-71.13180679,(42.25235422 -71.13180679),10
42.25237344,-71.11838883,(42.25237344 -71.11838883),8
42.2523986,-71.13110937,(42.25239860 -71.13110937),4
42.252425,-71.12328698,(42.25242500 -71.12328698),7
42.25244012,-71.14307663,(42.25244012 -71.14307663),6
42.25244344,-71.11850237,(42.25244344 -71.11850237),4
42.25244592,-71.11376074,(42.25244592 -71.11376074),1
42.25245093,-71.11815799,(42.25245093 -71.11815799),1
42.25246653,-71.11683569,(42.25246653 -71.11683569),6
42.25248964,-71.14188911,(42.25248964 -71.14188911),2
42.25250078,-71.11022148,(42.25250078 -71.11022148),4
42.25257033,-71.10963326,(42.25257033 -71.10963326),1
42.25258881,-71.13053356,(42.25258881 -71.13053356),28
42.25259531,-71.13126821,(42.25259531 -71.13126821),1
42.2525972,-71.1345883,(42.25259720 -71.13458830),5
42.25259863,-71.1211867,(42.25259863 -71.12118670),16
42.25262499,-71.129488,(42.25262499 -71.12948800),2
42.25267625,-71.11772984,(42.25267625 -71.11772984),4
42.2526953,-71.12496295,(42.25269530 -71.12496295),5
42.25275215,-71.13928462,(42.25275215 -71.13928462),4
42.25279971,-71.13143345,(42.25279971 -71.13143345),4
42.25286575,-71.1099264,(42.25286575 -71.10992640),17
42.25289498,-71.12741457,(42.25289498 -71.12741457),1
42.25291669,-71.11731647,(42.25291669 -71.11731647),6
42.25292596,-71.1126284,(42.25292596 -71.11262840),2
42.25296639,-71.13009747,(42.25296639 -71.13009747),4
42.25296948,-71.12552641,(42.25296948 -71.12552641),22
42.25303287,-71.14128853,(42.25303287 -71.14128853),2
42.25304573,-71.14377428,(42.25304573 -71.14377428),2
42.25304795,-71.11081444,(42.25304795 -71.11081444),2
42.25306838,-71.11498275,(42.25306838 -71.11498275),11
42.25307089,-71.11747564,(42.25307089 -71.11747564),1
42.25311614,-71.11410639,(42.25311614 -71.11410639),4
42.25312863,-71.12762235,(42.25312863 -71.12762235),1
42.2531317,-71.14072794,(42.25313170 -71.14072794),5
42.25314673,-71.13171862,(42.25314673 -71.13171862),5
42.25316873,-71.13277125,(42.25316873 -71.13277125),21
42.25322227,-71.12887835,(42.25322227 -71.12887835),6
42.25326475,-71.11903866,(42.25326475 -71.11903866),1
42.25326725,-71.12753868,(42.25326725 -71.12753868),1
42.25326734,-71.12385963,(42.25326734 -71.12385963),53
42.25328935,-71.13183855,(42.25328935 -71.13183855),1
42.2533034,-71.12971806,(42.25330340 -71.12971806),46
