,lat,long,location,count,postal_code
10089,42.327448700000005,-71.08308075,(42.32744870 -71.08308075),16,02119
10090,42.327449,-71.08262897,(42.32744900 -71.08262897),5,02119
10091,42.32745397,-71.08713969,(42.32745397 -71.08713969),11,02119
10092,42.32746198,-71.09852527,(42.32746198 -71.09852527),94,02120
10093,42.3274691,-71.0537141,(42.32746910 -71.05371410),68,02127
10094,42.32747759,-71.09509472,(42.32747759 -71.09509472),30,02119
10095,42.32747841,-71.07879693,(42.32747841 -71.07879693),18,02119
10096,42.32752693,-71.05541255,(42.32752693 -71.05541255),106,02127
10097,42.32754043,-71.06598386,(42.32754043 -71.06598386),43,02118
10098,42.3275408,-71.09950013,(42.32754080 -71.09950013),36,02120
10099,42.32755105,-71.0691618,(42.32755105 -71.06916180),11,02119
10100,42.32755521,-71.05389113,(42.32755521 -71.05389113),5,02127
10101,42.32755943,-71.08305748,(42.32755943 -71.08305748),4,02119
10102,42.32756337,-71.06751259,(42.32756337 -71.06751259),5,02118
10103,42.32756936,-71.10181691,(42.32756936 -71.10181691),66,02120
10104,42.32757423,-71.10738823,(42.32757423 -71.10738823),11,02120
10105,42.32760082,-71.10878874,(42.32760082 -71.10878874),41,02130
10106,42.3276156,-71.07285692,(42.32761560 -71.07285692),27,02119
10107,42.32762536,-71.07597934,(42.32762536 -71.07597934),2,02128
10108,42.32762935,-71.09555977,(42.32762935 -71.09555977),1,02119
10109,42.32765033,-71.10408925,(42.32765033 -71.10408925),7,02120
10110,42.32766929,-71.09566719,(42.32766929 -71.09566719),9,02119
10111,42.32772382,-71.09252733,(42.32772382 -71.09252733),4,02119
10112,42.3277261,-71.05600435,(42.32772610 -71.05600435),4,02127
10113,42.32772882,-71.10790293,(42.32772882 -71.10790293),3,02130
10114,42.32773335,-71.07742977,(42.32773335 -71.07742977),29,02119
10115,42.32773866,-71.07514869,(42.32773866 -71.07514869),13,02119
10116,42.32775523,-71.05256837,(42.32775523 -71.05256837),32,02127
10117,42.32775598,-71.08699544,(42.32775598 -71.08699544),1,02119
10118,42.327789700000004,-71.0741887,(42.32778970 -71.07418870),2,02119
10119,42.32779038,-71.06853244,(42.32779038 -71.06853244),3,02119
10120,42.32779058,-71.10667535,(42.32779058 -71.10667535),5,02120
10121,42.32779674,-71.05435602,(42.32779674 -71.05435602),113,02127
10122,42.32779976,-71.06771009,(42.32779976 -71.06771009),87,02118
10123,42.32781789,-71.08302925,(42.32781789 -71.08302925),3,02119
10124,42.32782737,-71.05800016,(42.32782737 -71.05800016),4,02127
10125,42.32782889,-71.09115602,(42.32782889 -71.09115602),25,02119
10126,42.3278311,-71.07939259,(42.32783110 -71.07939259),3,02119
10127,42.32783258,-71.09262005,(42.32783258 -71.09262005),2,02119
10128,42.32783493,-71.07154483,(42.32783493 -71.07154483),28,02119
10129,42.32784872,-71.0869504,(42.32784872 -71.08695040),1,02119
10130,42.3278602,-71.07820873,(42.32786020 -71.07820873),3,02119
10131,42.32786797,-71.10776824,(42.32786797 -71.10776824),2,02130
10132,42.32788017,-71.1040266,(42.32788017 -71.10402660),6,02120
10133,42.32788208,-71.08151936,(42.32788208 -71.08151936),1,02119
10134,42.32788516,-71.07770633,(42.32788516 -71.07770633),41,02119
10135,42.32790387,-71.09633312,(42.32790387 -71.09633312),1,02119
10136,42.32790482,-71.05305583,(42.32790482 -71.05305583),172,02127
10137,42.32793203,-71.08222598,(42.32793203 -71.08222598),38,02119
10138,42.32795212,-71.08976881,(42.32795212 -71.08976881),12,02119
10139,42.32795652,-71.10526297,(42.32795652 -71.10526297),72,02120
10140,42.327964,-71.083055,(42.32796400 -71.08305500),1,02119
10141,42.32798679,-71.09935358,(42.32798679 -71.09935358),9,02120
10142,42.32799622,-71.09331376,(42.32799622 -71.09331376),13,02119
10143,42.328007,-71.082921,(42.32800700 -71.08292100),1,02119
10144,42.32800712,-71.10763355,(42.32800712 -71.10763355),2,02120
10145,42.32801728,-71.07511595,(42.32801728 -71.07511595),17,02119
10146,42.32802058,-71.07716877,(42.32802058 -71.07716877),25,02119
10147,42.32802585,-71.05691103,(42.32802585 -71.05691103),16,02127
10148,42.32803096,-71.09238909999999,(42.32803096 -71.09238910),11,02119
10149,42.32803615,-71.06790759,(42.32803615 -71.06790759),1,02119
10150,42.32803883,-71.05482039,(42.32803883 -71.05482039),1,02127
10151,42.32804842,-71.07651895,(42.32804842 -71.07651895),18,02119
10152,42.32805817,-71.06956313,(42.32805817 -71.06956313),30,02119
10153,42.32805985,-71.07585355,(42.32805985 -71.07585355),2,02119
10154,42.32808857,-71.07271653,(42.32808857 -71.07271653),3,02119
10155,42.328092100000006,-71.05231757,(42.32809210 -71.05231757),36,02127
10156,42.32809577,-71.09974298,(42.32809577 -71.09974298),31,02120
10157,42.32809836,-71.08823477,(42.32809836 -71.08823477),20,02119
10158,42.32809966,-71.06321676,(42.32809966 -71.06321676),476,02125
10159,42.32810979,-71.08676709,(42.32810979 -71.08676709),11,02119
10160,42.3281283,-71.05785958,(42.32812830 -71.05785958),4,02127
10161,42.32814382,-71.09699557,(42.32814382 -71.09699557),36,02119
10162,42.32817202,-71.09711424,(42.32817202 -71.09711424),3,02120
10163,42.32818615,-71.08153985,(42.32818615 -71.08153985),1,02119
10164,42.32819458,-71.0793343,(42.32819458 -71.07933430),45,02119
10165,42.32820875,-71.09535415,(42.32820875 -71.09535415),7,02119
10166,42.32821587,-71.10012666,(42.32821587 -71.10012666),4,02120
10167,42.32821952,-71.08082768,(42.32821952 -71.08082768),33,02119
10168,42.32822472,-71.10746727,(42.32822472 -71.10746727),2,02120
10169,42.32822636,-71.10902877,(42.32822636 -71.10902877),2,02130
10170,42.32823419,-71.08328981,(42.32823419 -71.08328981),259,02119
10171,42.32824833,-71.11080115,(42.32824833 -71.11080115),5,02130
10172,42.32824866,-71.09087012,(42.32824866 -71.09087012),44,02119
10173,42.32825498,-71.05779953,(42.32825498 -71.05779953),6,02127
10174,42.328261700000006,-71.09227568,(42.32826170 -71.09227568),3,02119
10175,42.328286799999994,-71.07682397,(42.32828680 -71.07682397),9,02119
10176,42.32828842,-71.05529696,(42.32828842 -71.05529696),50,02127
10177,42.32829617,-71.07508786,(42.32829617 -71.07508786),21,02119
10178,42.32829858,-71.05691804,(42.32829858 -71.05691804),29,02127
10179,42.32830007,-71.10690483,(42.32830007 -71.10690483),15,02120
10180,42.32831223,-71.07997957,(42.32831223 -71.07997957),3,02119
10181,42.32831844,-71.09454023,(42.32831844 -71.09454023),10,02119
10182,42.32832226,-71.08321495,(42.32832226 -71.08321495),22,02119
10183,42.32832264,-71.07861091,(42.32832264 -71.07861091),62,02119
10184,42.32832309,-71.09005616,(42.32832309 -71.09005616),2,02119
10185,42.32833041,-71.09250198,(42.32833041 -71.09250198),1,02119
10186,42.32833131,-71.07536578,(42.32833131 -71.07536578),2,02119
10187,42.32833809,-71.09222618,(42.32833809 -71.09222618),3,02119
10188,42.32835176,-71.07393158,(42.32835176 -71.07393158),9,02119
10189,42.32838166,-71.05773947,(42.32838166 -71.05773947),19,02127
10190,42.328382399999995,-71.075636,(42.32838240 -71.07563600),1,02119
10191,42.32838896,-71.07096852,(42.32838896 -71.07096852),1,02119
10192,42.32840244,-71.09234696,(42.32840244 -71.09234696),3,02119
10193,42.32842999,-71.05257154,(42.32842999 -71.05257154),10,02127
10194,42.32845405,-71.10732892,(42.32845405 -71.10732892),4,02120
10195,42.32846202,-71.08614121,(42.32846202 -71.08614121),1,02119
10196,42.32847358,-71.08952204,(42.32847358 -71.08952204),7,02119
10197,42.32848003,-71.07010751,(42.32848003 -71.07010751),10,02119
10198,42.32848705,-71.08152784,(42.32848705 -71.08152784),15,02119
10199,42.32849143,-71.08121253,(42.32849143 -71.08121253),54,02119
10200,42.32849656,-71.08089725,(42.32849656 -71.08089725),19,02119
10201,42.32850251,-71.09259842,(42.32850251 -71.09259842),7,02119
