Average of viollevel,,Column Labels,,,,,
Row Labels,neighborhood,2015,2016,2017,2018,2019,Grand Total
LA FAMIGLIA RISTORANTE,BOSTON,1,1,2.5,1.666666667,,1.941176471
State Street Provisions,BOSTON,0,1.470588235,2.333333333,1,,1.94
Tenoch Mexican Food,BOSTON,3,1.333333333,1.666666667,1.857142857,,1.935483871
Fresh City,EAST BOSTON,1.416666667,2.428571429,1.923076923,2.047619048,,1.934782609
Royal Tea,BOSTON,,,,1,2,1.933333333
NORTHEASTERN UNIV. RYDER HALL,BOSTON,1.8,0,0,2.5,,1.933333333
MASTER WOK,BOSTON,1.666666667,1.64,2.5,1.869565217,1.5,1.930232558
WBZ Cafe,ALLSTON,1,2.2,1,1.857142857,,1.923076923
BREADWINNERS/STARBUCK'S,BOSTON,2.166666667,2.142857143,1,0.666666667,,1.921052632
Num Pang Sandwich Shop,BOSTON,,,1.428571429,2.111111111,,1.92
Momogoose 3,BOSTON,2.714285714,1.428571429,0.5,1.777777778,,1.915254237
By Chloe,BOSTON,,,1.777777778,2,,1.913043478
149 Eat Street,CHARLESTOWN,0.5,2.6,1.6,2,,1.909090909
B-Good,BOSTON,0,0.5,1,2.230769231,1,1.909090909
BM2:BON ME DARK BLUE,BOSTON,1.8,2,2.333333333,1,,1.909090909
Cafe 26,BOSTON,2.5,2,2,1.4,,1.909090909
Savory Food Truck No.  3 (P-33-235),BOSTON,1.444444444,2.333333333,1.875,1.857142857,,1.906976744
Caffe Bene,BOSTON,1.571428571,0.666666667,2,2.066666667,2,1.901960784
Vertex Pharmaceuticals Cafe,BOSTON,0,0,0.5,3,,1.9
Frio Rico,EAST BOSTON,1.571428571,1.8,1,2.461538462,,1.897435897
Somerset Club,BOSTON,1,2.428571429,1.5,2,,1.894736842
NORTH STREET GRILLE & CAFE,BOSTON,1,1.875,0,2.055555556,,1.892857143
Tenoch Mexican,BOSTON,1.541666667,2.538461538,1.933333333,2.142857143,3,1.888888889
Oak & Rowan,BOSTON,,0,0.5,2.083333333,,1.888888889
Ichiban Yakitori Sushi House,BOSTON,2,1.666666667,1.633333333,2.097560976,2,1.888888889
Crudo,BOSTON,0,2.222222222,2.428571429,1.5,1.857142857,1.888888889
Bostonia Public House,BOSTON,3,1,1.888888889,1,,1.888888889
TAIWAN CAFE,BOSTON,2,1.772727273,1.8125,2.153846154,1.833333333,1.887323944
CAPTAIN MARDEN'S SEAFOODS,BOSTON,1,0,3,1.666666667,3,1.884615385
Plaza Meat Market,JAMAICA PLAIN,,,0,1.8,2.333333333,1.882352941
DUNKIN DONUTS(ARRIVAL),EAST BOSTON,1,2.5,0,1.666666667,,1.882352941
Fisher College Cafe,BOSTON,2,1.869565217,2.333333333,0,3,1.882352941
Berkshire Farms Market,EAST BOSTON,1,2,2.2,0,,1.882352941
The Bebop,BOSTON,,,1.636363636,1.916666667,2,1.87755102
